dia,temperatura_max,temperatura_min,temperatura_promedio,tiempo_de_luz_solar,sumatoria_precipitaciones_totale,sumatoria_precipitaciones_luvias,sumatoria_precipitaciones_nevadas,horas_de_precipitaciones,velocidad_max_viento,velocidad_max_rafagas_viento,direccion_viento
2022-01-01 00:00:00+00:00,11.5725,7.4225,9.145416,33533.234,10.000001,10.000001,0.0,16.0,12.538134,20.519999,184.74841
2022-01-02 00:00:00+00:00,13.6225,7.4725,10.451667,33577.152,25.300001,25.300001,0.0,11.0,22.42427,48.96,316.60416
2022-01-03 00:00:00+00:00,6.1725,-2.9775,-0.012916654,33624.86,1.9000001,0.0,1.33,7.0,30.855171,55.8,355.08218
2022-01-04 00:00:00+00:00,0.6225,-6.5775,-3.592083,33676.88,0.0,0.0,0.0,0.0,25.364037,44.639996,321.59485
2022-01-05 00:00:00+00:00,6.9725,-2.1275,1.2329166,33733.184,0.3,0.3,0.0,3.0,22.97522,36.719997,213.14923
2022-01-06 00:00:00+00:00,4.5225,0.5225,2.2641668,33793.63,0.0,0.0,0.0,0.0,19.813087,37.079998,264.662
2022-01-07 00:00:00+00:00,0.072500005,-2.8274999,-1.1170832,33858.07,9.0,0.0,6.299999,11.0,25.49908,42.839996,319.58804
2022-01-08 00:00:00+00:00,-2.5774999,-8.9275,-5.852499,33926.367,0.0,0.0,0.0,0.0,24.033876,38.519997,286.5962
2022-01-09 00:00:00+00:00,3.5725,-5.7775,-1.1045835,33998.375,2.6,2.6,0.0,8.0,24.023088,40.32,212.41736
2022-01-10 00:00:00+00:00,4.0725,-4.0275,-0.2837499,34073.94,2.3999999,2.3999999,0.0,4.0,26.282465,45.0,295.21545
2022-01-11 00:00:00+00:00,-3.7775,-8.6775,-6.4504166,34152.93,0.0,0.0,0.0,0.0,28.001427,46.8,310.64166
2022-01-12 00:00:00+00:00,4.6225,-8.0275,-3.1900003,34235.2,0.0,0.0,0.0,0.0,21.986542,38.88,214.24036
