Year,Total
1970,284.91
1971,277.05
1972,274.09
1973,280.37
1974,258.79
1975,244.46
1976,262.59
1977,259.81
1978,254.53
1979,233.19
1980,221.87
1981,205.84
1982,195.6
1983,178.05
1984,183.06
1985,187.92
1986,190.7
1987,201.59
1988,208.95
1989,213.86
1990,207.32
1991,199.45
1992,198.83
1993,193.49
1994,191.68
1995,197.39
1996,199.88
1997,204.2
1998,203.06
1999,205.73
2000,212.24
2001,207.97
2002,202.17
2003,213.05
2004,215.37
2005,211.5
2006,193.76
2007,199.89
2008,190.06
2009,174.07
2010,185.01
2011,175.32
2012,167.89
2013,169.1
2014,176.21
2015,174.36
2016,170.15
2017,165.84
2018,175.1
2019,169.03
2020,143.42
2021,156.05
