contaminante,data_value,measure_info,fecha,Barrio,latitud,longitud
Outdoor Air Toxics - Benzene,2.7,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,4.0,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,3.0,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,2.3,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Formaldehyde,2.7,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,3.6,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,3.4,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,2.4,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,1.8,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,2.9,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,5.3,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,4.3,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.8,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,2.8,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,4.0,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.3,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,2.4,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,2.3,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Benzene,1.7,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,4.7,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,4.1,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.5,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Benzene,3.2,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,3.4,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Formaldehyde,4.2,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,1.9,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,2.7,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,3.6,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Formaldehyde,2.3,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,2.4,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.9,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Formaldehyde,3.5,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,4.5,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.0,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,3.9,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.3,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,1.1,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Benzene,2.8,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,3.7,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Formaldehyde,4.6,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,3.2,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,2.8,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,2.5,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,4.7,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,1.4,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,1.8,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Benzene,2.8,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,2.4,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,2.7,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,1.6,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Benzene,1.6,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Benzene,2.7,mcg/m3,2005-01-01,Bronx,40.8448,-73.8648
Outdoor Air Toxics - Benzene,1.9,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,2.2,mcg/m3,2005-01-01,Staten Island,40.5795,-74.1502
Outdoor Air Toxics - Formaldehyde,2.8,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Formaldehyde,4.5,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,2.5,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,4.2,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Benzene,1.9,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,3.1,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,1.8,mcg/m3,2005-01-01,Queens,40.7282,-73.7949
Outdoor Air Toxics - Formaldehyde,3.0,mcg/m3,2005-01-01,Brooklyn,40.6782,-73.9442
Outdoor Air Toxics - Benzene,6.3,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
Outdoor Air Toxics - Formaldehyde,4.2,mcg/m3,2005-01-01,Manhattan,40.7831,-73.9712
