Barrio,latitude,longitude,small_sounding_engine_presence,medium_sounding_engine_presence,large_sounding_engine_presence,engine_of_uncertain_size_presence,engine_presence,fecha,codigo_postal
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-06,10119
Manhattan,40.72951,-73.99425,0,0,0,1,1,2016-05-06,10012
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-06,10151
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-09,10256
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-09,10035
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-09,10001
Manhattan,40.72951,-73.99425,0,0,1,0,1,2016-05-13,10151
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-13,10011
Manhattan,40.72951,-73.99425,0,0,0,1,1,2016-05-13,10103
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-15,10001
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-15,10027
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-15,10285
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-17,10170
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-17,10065
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-17,10039
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-19,10257
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-19,10177
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-19,10087
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10171
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10211
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10268
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10111
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10045
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-20,10212
Manhattan,40.73033,-73.9956,0,0,0,0,0,2016-05-20,10276
Manhattan,40.73033,-73.9956,0,0,0,0,0,2016-05-20,10273
Manhattan,40.73033,-73.9956,0,0,0,0,0,2016-05-20,10151
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-20,10112
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-20,10162
Manhattan,40.72996,-73.99449,0,0,0,1,1,2016-05-20,10119
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-21,10045
Manhattan,40.73206,-73.99763,0,0,1,0,1,2016-05-21,10257
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-21,10272
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-21,10020
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-21,10032
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-21,10022
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-21,10279
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-21,10038
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-21,10081
Manhattan,40.72915,-73.995,0,1,0,0,1,2016-05-21,10256
Manhattan,40.72915,-73.995,0,0,1,0,1,2016-05-21,10014
Manhattan,40.72915,-73.995,0,0,0,0,0,2016-05-21,10177
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-21,10044
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-21,10081
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-21,10199
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-21,10039
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-21,10044
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-21,10065
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-22,10171
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-22,10031
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-22,10115
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-22,10055
Manhattan,40.73206,-73.99763,0,0,0,1,1,2016-05-23,10256
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-23,10038
Manhattan,40.73206,-73.99763,0,1,0,0,1,2016-05-23,10037
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-23,10112
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-23,10065
Manhattan,40.73142,-73.99629,0,0,0,0,0,2016-05-23,10151
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-23,10152
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-23,10173
Manhattan,40.72996,-73.99449,0,0,0,0,0,2016-05-23,10177
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10075
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10274
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10272
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10112
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10172
Manhattan,40.72951,-73.99425,0,0,0,0,0,2016-05-23,10260
Manhattan,40.73033,-73.9956,0,0,1,0,1,2016-05-23,10128
Manhattan,40.73033,-73.9956,0,0,0,0,0,2016-05-23,10035
Manhattan,40.73033,-73.9956,1,0,0,0,1,2016-05-23,10044
Manhattan,40.73206,-73.99763,0,0,0,0,0,2016-05-23,10060
