Nombre de la Estación,Tipo de Instalación,Latitude,Longitude,Barrio
Port Authority Bus Terminal,PARKING_GARAGE,40.756177,-73.990558,Manhattan
United Parcel Service,FLEET_GARAGE,40.762442,-74.000055,Manhattan
Spectrum,OFFICE_BLDG,40.87121,-73.911616,Bronx
Central Parking - Tower 31,No data,40.747098,-73.986641,Manhattan
Tribeca Park,No data,40.717717,-74.015049,Brooklyn
Environmental Protection Agency,FED_GOV,40.714723,-74.005143,Brooklyn
Mott Street Parking - Tesla Supercharger,No data,40.717522,-73.997302,Brooklyn
W 75th Parking Garage - Tesla Supercharger,No data,40.780976,-73.980414,Manhattan
E 47th Street - Tesla Supercharger,No data,40.753356,-73.971685,Manhattan
MPG 10 E 102nd Street - Tesla Destination,PAY_GARAGE,40.791232,-73.95237,Manhattan
Rapidpark 10 E 30th Street - Tesla Destination,PAY_GARAGE,40.745384,-73.985704,Manhattan
Icon Parking 1056 5th Avenue - Tesla Destination,PAY_GARAGE,40.782031,-73.959484,Manhattan
iPark 10 West 15th - Tesla Destination,PAY_GARAGE,40.736754,-73.993789,Manhattan
GGMC Parking 10 W 66th St Garage - Tesla Destination,PAY_GARAGE,40.772308,-73.978966,Manhattan
GGMC Parking Union Square Parking Garage - Tesla Destination,PAY_GARAGE,40.734817,-73.989198,Manhattan
Icon Parking 100 Riverside Blvd. - Tesla Destination,PAY_GARAGE,40.775704,-73.989483,Manhattan
Rapidpark 600 Columbus Ave - Tesla Destination,PAY_GARAGE,40.788305,-73.971353,Manhattan
Champion Parking E 16th Street - Tesla Destination,PAY_GARAGE,40.736116,-73.989322,Manhattan
Icon Parking 101 W 15th - Tesla Destination,PAY_GARAGE,40.738352,-73.996519,Manhattan
iPark NYC 88th Street Garage - Tesla Destination,PAY_GARAGE,40.787976,-73.971145,Manhattan
Icon Parking 101 West End Ave - Tesla Destination,PAY_GARAGE,40.775188,-73.988501,Manhattan
ABM Parking 475 Park Ave South LLC - Tesla Destination,PAY_GARAGE,40.745497,-73.98208,Manhattan
Rapidpark 99 Park Ave - Tesla Destination,PAY_GARAGE,40.750254,-73.978627,Manhattan
iPark 107 West 13th Street - Tesla Destination,PAY_GARAGE,40.737094,-73.997754,Manhattan
Icon Parking 11 5th Ave - Tesla Destination,PAY_GARAGE,40.732257,-73.99608,Manhattan
iPark NYC 1025 83rd - Tesla Destination,PAY_GARAGE,40.779468,-73.961086,Manhattan
GMC 111 E 82nd St - Tesla Destination,PAY_GARAGE,40.777545,-73.958471,Manhattan
iPark 112 E 65th Street - Tesla Destination,PAY_GARAGE,40.766174,-73.966419,Manhattan
Quik Park 1133 Garage LLC - Tesla Destination,PAY_GARAGE,40.756071,-73.98392,Manhattan
iPark 1510 Lex Garage Corp. - Tesla Destination,PAY_GARAGE,40.787343,-73.951003,Manhattan
ABM Parking 750 Lexington Ave LLC - Tesla Destination,PAY_GARAGE,40.762806,-73.9687,Manhattan
Icon Parking 12 East 9th Street - Tesla Destination,PAY_GARAGE,40.732324,-73.99517,Manhattan
MPG 121 Reade Street - Tesla Destination,PAY_GARAGE,40.716208,-74.009488,Brooklyn
GMC Parking Narragansett - Tesla Destination,PAY_GARAGE,40.764767,-73.967021,Manhattan
Rapidpark 124 W 20th Street - Tesla Destination,HOTEL,40.741371,-73.995533,Manhattan
Quik Park Garden Lots LLC - Tesla Destination,PAY_GARAGE,40.748789,-73.989915,Manhattan
ABM Parking 13 East 54th Street LLC - Tesla Destination,PAY_GARAGE,40.761051,-73.974877,Manhattan
New York Hilton Midtown - Tesla Destination,HOTEL,40.762445,-73.97971,Manhattan
1345 Parking Garage - Tesla Destination,PAY_GARAGE,40.76351,-73.979364,Manhattan
Icon Parking 1350 Avenue of the Americas - Tesla Destination,PAY_GARAGE,40.762653,-73.977846,Manhattan
Icon Parking 14-26 William Street - Tesla Destination,PAY_GARAGE,40.704976,-74.009682,Brooklyn
Icon Parking OMNI - Tesla Destination,PAY_GARAGE,40.775545,-73.9818,Manhattan
Rapidpark 148 E 33rd Street - Tesla Destination,PAY_GARAGE,40.745236,-73.979736,Manhattan
Rapidpark 15 W 72nd Street - Tesla Destination,PAY_GARAGE,40.777008,-73.97689,Manhattan
Icon Parking 150 Charles Street - Tesla Destination,PAY_GARAGE,40.733633,-74.009239,Manhattan
Icon Parking 150 E 58th Street - Tesla Destination,PAY_GARAGE,40.76161,-73.96775,Manhattan
Rapidpark 150 East 77th Street - Tesla Destination,PAY_GARAGE,40.773472,-73.95992,Manhattan
Standard Parking 151 W 17th Street - Tesla Destination,PAY_GARAGE,40.740728,-73.997493,Manhattan
