cant_registros,costo_total,costo_promedio,duracion_promedio,distancia_promedio,dia,barrio_abordaje,barrio_destino,codigo_postal_abordaje,codigo_postal_destino
7060,413622.62999999995,58.5867747875354,30.510481586402268,15.73448441926346,2022-05-01,Queens,Bronx,11413,10459
12443,438509.7200000003,35.24147874306842,25.60893675158724,8.405665836213133,2022-05-01,Manhattan,Bronx,10044,10456
2374,112741.58,47.490134793597306,28.144903117101936,10.102472620050554,2023-07-01,Brooklyn,Queens,11237,11363
385,24805.859999999982,64.43080519480516,34.064935064935064,13.408103896103896,2023-06-01,Bronx,Brooklyn,10475,11249
3040,147545.84,48.53481578947368,29.38881578947369,9.345023026315788,2023-09-01,Brooklyn,Queens,11208,11412
57,5061.099999999999,88.79122807017539,36.91228070175438,7.387192982456141,2023-07-01,Staten Island,Manhattan,10310,10065
35,2694.6600000000003,76.99028571428573,28.914285714285715,17.775428571428574,2022-02-01,Staten Island,Queens,10313,11418
9255,387559.7,41.87571042679632,26.615775256618043,5.416531604538087,2023-09-01,Brooklyn,Manhattan,11223,10004
3196,157868.78,49.39573842302879,29.54349186483104,10.127825406758452,2023-05-01,Brooklyn,Queens,11213,11365
8148,323678.85,39.72494477172312,25.371379479626903,6.0885260186548855,2023-07-01,Brooklyn,Manhattan,11236,10110
349,17438.69999999999,49.96762177650427,30.610315186246417,9.515873925501428,2023-02-01,Bronx,Queens,10473,11001
62,4808.6100000000015,77.55822580645163,32.70967741935484,12.361290322580649,2022-02-01,Staten Island,Manhattan,10310,10041
273,17494.0,64.08058608058609,36.17948717948718,9.478754578754575,2022-01-01,Bronx,Brooklyn,10466,11220
8946,422110.82999999984,47.1843091884641,26.67750950145316,8.590364408674265,2023-12-01,Manhattan,Bronx,10080,10462
5567,441487.0899999999,79.30430932279502,30.31650799353332,15.57063409376684,2023-12-01,Queens,Bronx,11359,10462
28,1702.4999999999998,60.80357142857142,34.42857142857143,15.518571428571429,2023-05-01,Staten Island,Brooklyn,10313,11222
47,3675.54,78.20297872340426,31.638297872340427,9.23170212765957,2022-10-01,Staten Island,Queens,10312,11371
86,7705.110000000008,89.59430232558147,29.093023255813957,16.029069767441865,2023-05-01,Staten Island,Manhattan,10303,10169
23,1960.83,85.25347826086956,37.34782608695652,17.94086956521739,2022-08-01,Staten Island,Queens,10301,11367
32537,1577454.259999997,48.48185942158149,30.128131050803695,13.785282601346166,2022-01-01,Queens,Brooklyn,11355,11244
354,17065.019999999993,48.20627118644066,29.435028248587567,9.03968926553672,2022-05-01,Bronx,Queens,10474,11418
2347,97871.82999999997,41.70082232637408,28.649765658287176,9.479118023008095,2022-08-01,Brooklyn,Queens,11203,11373
67,4154.120000000001,62.00179104477613,30.22388059701493,13.394626865671642,2023-06-01,Brooklyn,Staten Island,11241,10304
350,22926.189999999988,65.50339999999997,31.217142857142857,12.259628571428568,2023-09-01,Brooklyn,Bronx,11205,10456
67654,2056092.989999985,30.391299701421723,14.91843793419458,5.834061400656282,2022-11-01,Queens,Queens,11106,11351
43073,2126082.8799999934,49.35999071343982,33.08135026582778,13.88833724142734,2022-07-01,Queens,Brooklyn,11412,11256
407,32313.179999999986,79.39356265356263,36.36363636363637,16.3044226044226,2022-03-01,Manhattan,Staten Island,10111,10309
113830,5741024.0099999895,50.43506992884116,28.267512957919703,11.282561890538515,2022-11-01,Manhattan,Queens,10268,11429
441,52458.64,118.95383219954648,38.53061224489796,25.73965986394558,2023-04-01,Queens,Staten Island,11429,10306
78,6025.56,77.25076923076925,34.02564102564103,14.699230769230768,2022-08-01,Staten Island,Manhattan,10301,10017
21,1743.43,83.02047619047619,29.80952380952381,19.89047619047619,2023-04-01,Bronx,Staten Island,10453,10308
1430,45130.02000000002,31.55945454545456,27.22237762237762,5.142895104895105,2022-05-01,Bronx,Manhattan,10458,10081
10727,248494.03000000003,23.165286659830336,15.696000745781673,2.6434287312389304,2023-03-01,Brooklyn,Brooklyn,11217,11252
388,24163.34,62.27664948453607,31.711340206185568,12.016005154639172,2022-09-01,Bronx,Brooklyn,10470,11221
8146,389502.15,47.81514240117849,27.080162042720357,8.571492757181439,2023-11-01,Manhattan,Bronx,10002,10459
3242,162085.82000000004,49.995626156693405,29.53578038247995,9.589669956816785,2023-10-01,Brooklyn,Queens,11219,11106
8467,384895.53,45.45831227117042,26.70036612731782,8.40237510334239,2024-02-01,Manhattan,Bronx,10279,10472
242,26242.27,108.43913223140494,37.04958677685951,18.628016528925617,2024-02-01,Manhattan,Staten Island,10009,10313
88,5166.110000000004,58.7057954545455,31.863636363636363,15.401818181818184,2022-05-01,Brooklyn,Staten Island,11222,10305
271,33906.39999999999,125.11586715867152,36.98154981549816,26.141992619926203,2024-02-01,Queens,Staten Island,11358,10313
2665422,44242597.68999291,16.598721587048097,12.624597155722434,2.0109206234509966,2022-11-01,Manhattan,Manhattan,10276,10112
184066,11236452.760000072,61.045781187183245,31.817560005650147,14.392807960188197,2022-05-01,Queens,Manhattan,11001,10007
83310,2750867.8099999903,33.01965922458277,25.856295762813588,6.501926299363822,2022-05-01,Manhattan,Brooklyn,10169,11242
2104,54771.33000000001,26.032000950570342,16.3393536121673,2.4986882129277563,2023-01-01,Bronx,Bronx,10454,10456
559,28610.879999999983,51.1822540250447,31.49016100178891,11.356529516994632,2023-12-01,Bronx,Queens,10462,11413
5169,410041.4,79.32702650415939,30.99845231185916,15.76110079319017,2024-02-01,Queens,Bronx,11428,10453
2015,44334.27999999999,22.002124069478903,15.196526054590572,2.28749875930521,2022-04-01,Bronx,Bronx,10465,10455
6100,354983.1799999997,58.19396393442618,30.42754098360656,15.729547540983615,2022-04-01,Queens,Bronx,11351,10452
429,34149.90999999999,79.60351981351978,35.04195804195804,16.308927738927746,2022-04-01,Manhattan,Staten Island,10060,10306
82,4813.840000000001,58.70536585365855,15.292682926829269,1.6779268292682927,2022-09-01,Staten Island,Staten Island,10311,10301
9413,428327.58,45.50383299691916,24.80006374163391,8.366782109848083,2023-01-01,Manhattan,Bronx,10005,10461
381,34256.87999999999,89.91307086614171,36.01574803149607,25.58448818897637,2022-04-01,Queens,Staten Island,11435,10313
6051,475655.43999999977,78.60774086927776,30.066931085770943,15.888026772434303,2023-01-01,Queens,Bronx,11378,10472
543,64530.04999999998,118.83987108655612,37.07366482504604,25.387771639042345,2023-07-01,Queens,Staten Island,11109,10307
6,385.77,64.295,25.166666666666668,5.02,2023-10-01,Staten Island,Brooklyn,10309,11201
4826,277114.96999999986,57.42125362619143,29.67177786987153,15.546906340654782,2022-02-01,Queens,Bronx,11356,10464
231,20393.06,88.28164502164499,34.97835497835498,25.35103896103897,2022-02-01,Queens,Staten Island,11364,10306
272,20986.99,77.15805147058822,36.47794117647059,15.19400735294118,2022-02-01,Manhattan,Staten Island,10025,10306
106,5584.300000000004,52.682075471698155,33.37735849056604,12.169433962264144,2022-09-01,Brooklyn,Staten Island,11212,10308
31,2621.58,84.56709677419353,23.161290322580644,19.027419354838717,2023-05-01,Bronx,Staten Island,10455,10306
361,22653.81999999999,62.75296398891964,32.05263157894737,12.393462603878122,2022-09-01,Brooklyn,Bronx,11221,10471
636,31267.459999999992,49.16267295597483,30.863207547169807,11.085801886792447,2024-02-01,Bronx,Queens,10460,11381
12,541.44,45.12,21.58333333333333,5.4425,2023-09-01,Staten Island,Brooklyn,10305,11252
170167,10136699.02000004,59.56912339055186,31.71656666686255,14.110135513936308,2022-03-01,Queens,Manhattan,11379,10273
2208,48732.689999999995,22.07096467391304,14.953351449275363,2.295280797101449,2022-10-01,Bronx,Bronx,10469,10465
9,739.3,82.14444444444445,25.33333333333333,16.444444444444443,2022-10-01,Bronx,Staten Island,10451,10308
14,1214.35,86.73928571428571,21.071428571428573,21.36428571428571,2022-08-01,Bronx,Staten Island,10474,10313
75,4284.040000000001,57.12053333333335,32.0,15.695066666666666,2022-03-01,Brooklyn,Staten Island,11243,10309
44,3300.3500000000004,75.00795454545454,40.63636363636363,11.386363636363637,2023-02-01,Staten Island,Queens,10314,11102
492,44484.86,90.41638211382113,35.32113821138211,26.36745934959349,2022-08-01,Queens,Staten Island,11429,10302
330,16776.21999999999,50.83703030303028,29.81212121212121,9.24866666666666,2023-01-01,Bronx,Queens,10474,11367
94,3275.08,34.84127659574468,5.180851063829787,0.7626595744680849,2023-06-01,Staten Island,Staten Island,10302,10308
